Model,Dataset,TopK,Recall,Precision,NDCG,F1
snunlp_KR-SBERT-V40K-klueNLI-augSTS,MLDR,1,0.055,0.055,0.0,0.055
snunlp_KR-SBERT-V40K-klueNLI-augSTS,MLDR,3,0.105,0.035,0.0852371901428583,0.0525
snunlp_KR-SBERT-V40K-klueNLI-augSTS,MLDR,5,0.14,0.028000000000000008,0.09987263216703851,0.04666666666666667
snunlp_KR-SBERT-V40K-klueNLI-augSTS,MLDR,10,0.19,0.019,0.11574664063526832,0.03454545454545455
snunlp_KR-SBERT-V40K-klueNLI-augSTS,Ko-StrategyQA,1,0.027485586539592897,0.04482880338863396,0.0,0.03256853747499705
snunlp_KR-SBERT-V40K-klueNLI-augSTS,Ko-StrategyQA,3,0.04751147193787504,0.028238616307800918,0.05961835725841676,0.033828349553729015
snunlp_KR-SBERT-V40K-klueNLI-augSTS,Ko-StrategyQA,5,0.06113660430638898,0.02244969996470173,0.06460309105870045,0.031593913009373656
snunlp_KR-SBERT-V40K-klueNLI-augSTS,Ko-StrategyQA,10,0.0828626897282033,0.015037063183903987,0.07096858112093243,0.02478054948933876
snunlp_KR-SBERT-V40K-klueNLI-augSTS,RAG-Evaluation-Dataset-KO,1,0.6566666666666666,0.6566666666666666,0.0,0.6566666666666666
snunlp_KR-SBERT-V40K-klueNLI-augSTS,RAG-Evaluation-Dataset-KO,3,0.8066666666666666,0.26888888888888884,0.746068939559527,0.4033333333333333
snunlp_KR-SBERT-V40K-klueNLI-augSTS,RAG-Evaluation-Dataset-KO,5,0.8533333333333334,0.17066666666666666,0.7651446247500454,0.2844444444444445
snunlp_KR-SBERT-V40K-klueNLI-augSTS,RAG-Evaluation-Dataset-KO,10,0.9066666666666666,0.09066666666666666,0.7824152703171777,0.16484848484848488
snunlp_KR-SBERT-V40K-klueNLI-augSTS,markers_bm,1,0.2543859649122807,0.2543859649122807,0.0,0.2543859649122807
snunlp_KR-SBERT-V40K-klueNLI-augSTS,markers_bm,3,0.42105263157894735,0.14035087719298245,0.3537983907894773,0.21052631578947367
snunlp_KR-SBERT-V40K-klueNLI-augSTS,markers_bm,5,0.47368421052631576,0.09473684210526315,0.37569674032248296,0.15789473684210528
snunlp_KR-SBERT-V40K-klueNLI-augSTS,markers_bm,10,0.5701754385964912,0.05701754385964911,0.4080662300681045,0.10366826156299842
snunlp_KR-SBERT-V40K-klueNLI-augSTS,autorag-korean,1,0.0,0.0,0.0,0.0
snunlp_KR-SBERT-V40K-klueNLI-augSTS,autorag-korean,3,0.0,0.0,0.0,0.0
snunlp_KR-SBERT-V40K-klueNLI-augSTS,autorag-korean,5,0.017543859649122806,0.0035087719298245615,0.007555729089006893,0.0058479532163742695
snunlp_KR-SBERT-V40K-klueNLI-augSTS,autorag-korean,10,0.03508771929824561,0.0035087719298245615,0.013216009908532418,0.006379585326953748
upskyy_bge-m3-korean,MLDR,1,0.13,0.13,0.0,0.13
upskyy_bge-m3-korean,MLDR,3,0.23,0.07666666666666666,0.1898197315178593,0.115
upskyy_bge-m3-korean,MLDR,5,0.27,0.054000000000000006,0.206170318824018,0.09000000000000002
upskyy_bge-m3-korean,MLDR,10,0.315,0.0315,0.22038247994383212,0.057272727272727274
upskyy_bge-m3-korean,Ko-StrategyQA,1,0.09081068360983645,0.13872220261207202,0.0,0.10503588657489116
upskyy_bge-m3-korean,Ko-StrategyQA,3,0.13654883767838233,0.07871514295799505,0.15543682768499462,0.09549694922091674
upskyy_bge-m3-korean,Ko-StrategyQA,5,0.1512623333837594,0.054006353688669254,0.15617744717973545,0.0766667226956673
upskyy_bge-m3-korean,Ko-StrategyQA,10,0.16423780949019215,0.029862336745499467,0.15666428518193404,0.04927518513199873
upskyy_bge-m3-korean,RAG-Evaluation-Dataset-KO,1,0.9033333333333333,0.9033333333333333,0.0,0.9033333333333333
upskyy_bge-m3-korean,RAG-Evaluation-Dataset-KO,3,0.9433333333333334,0.3144444444444444,0.9276976584523818,0.4716666666666667
upskyy_bge-m3-korean,RAG-Evaluation-Dataset-KO,5,0.9566666666666667,0.1913333333333333,0.9330017750516386,0.31888888888888894
upskyy_bge-m3-korean,RAG-Evaluation-Dataset-KO,10,0.9633333333333334,0.09633333333333331,0.9351644357520356,0.1751515151515152
upskyy_bge-m3-korean,markers_bm,1,0.4649122807017544,0.4649122807017544,0.0,0.4649122807017544
upskyy_bge-m3-korean,markers_bm,3,0.6578947368421053,0.21929824561403508,0.5786311079260691,0.32894736842105265
upskyy_bge-m3-korean,markers_bm,5,0.7368421052631579,0.14736842105263157,0.6122474699595926,0.24561403508771937
upskyy_bge-m3-korean,markers_bm,10,0.8508771929824561,0.0850877192982456,0.6496055576766274,0.15470494417862843
upskyy_bge-m3-korean,autorag-korean,1,0.0,0.0,0.0,0.0
upskyy_bge-m3-korean,autorag-korean,3,0.0,0.0,0.0,0.0
upskyy_bge-m3-korean,autorag-korean,5,0.0,0.0,0.0,0.0
upskyy_bge-m3-korean,autorag-korean,10,0.0,0.0,0.0,0.0
jhgan_ko-sroberta-multitask,MLDR,1,0.12,0.12,0.0,0.12
jhgan_ko-sroberta-multitask,MLDR,3,0.205,0.06833333333333333,0.1683918389107156,0.1025
jhgan_ko-sroberta-multitask,MLDR,5,0.24,0.04800000000000001,0.18280816218070156,0.08
jhgan_ko-sroberta-multitask,MLDR,10,0.3,0.03,0.20200764487325856,0.05454545454545455
jhgan_ko-sroberta-multitask,Ko-StrategyQA,1,0.06934681391088027,0.10801270737733851,0.0,0.08067419696434876
jhgan_ko-sroberta-multitask,Ko-StrategyQA,3,0.11328727749483132,0.06447817390281209,0.12932638408940075,0.07857394987645604
jhgan_ko-sroberta-multitask,Ko-StrategyQA,5,0.1303069268653455,0.04624073420402401,0.13295052853242917,0.06564946016057913
jhgan_ko-sroberta-multitask,Ko-StrategyQA,10,0.1451557326071975,0.026191316625485354,0.13569244893093343,0.04322707462177158
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,1,0.8266666666666667,0.8266666666666667,0.0,0.8266666666666667
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,3,0.92,0.30666666666666664,0.8824984160833353,0.46
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,5,0.94,0.18799999999999997,0.8909658680753404,0.3133333333333334
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,10,0.95,0.09499999999999999,0.8942396398868484,0.17272727272727276
jhgan_ko-sroberta-multitask,markers_bm,1,0.42105263157894735,0.42105263157894735,0.0,0.42105263157894735
jhgan_ko-sroberta-multitask,markers_bm,3,0.543859649122807,0.18128654970760233,0.4904956866228088,0.2719298245614035
jhgan_ko-sroberta-multitask,markers_bm,5,0.5964912280701754,0.11929824561403507,0.5120096172888071,0.1988304093567252
jhgan_ko-sroberta-multitask,markers_bm,10,0.6491228070175439,0.06491228070175438,0.5294097115343012,0.11802232854864436
jhgan_ko-sroberta-multitask,autorag-korean,1,0.0,0.0,0.0,0.0
jhgan_ko-sroberta-multitask,autorag-korean,3,0.0,0.0,0.0,0.0
