Model,Dataset,AVG,Cosine Pearson,Cosine Spearman,Euclidean Pearson,Euclidean Spearman,Manhattan Pearson,Manhattan Spearman,Dot Pearson,Dot Spearman
snunlp_KR-SBERT-V40K-klueNLI-augSTS,dkoterwa_kor-sts,0.7699900092426764,0.7946333473263093,0.7894156224210971,0.7749293583643475,0.7679080517295666,0.7750689578885328,0.7679168227309273,0.7504469947873376,0.7396009186932925
snunlp_KR-SBERT-V40K-klueNLI-augSTS,mteb_sts17-crosslingual-sts,0.7944969227004277,0.8158436689817707,0.8135792210205693,0.7992585544437876,0.7983402664957809,0.7988240218193114,0.7979949717147515,0.769053820301683,0.7630808568257678
upskyy_bge-m3-korean,dkoterwa_kor-sts,0.8272353939397092,0.8341102503500195,0.8334529506566642,0.8240137689685492,0.8328932700710293,0.824055051142464,0.8330742353816991,0.8198060580755889,0.8164775668716588
upskyy_bge-m3-korean,mteb_sts17-crosslingual-sts,0.8464414489240033,0.852599586740429,0.8515782116279725,0.8415308053441484,0.8501940676940408,0.8413549620512035,0.850080430802619,0.8430914063715015,0.8411021207601111
jhgan_ko-sroberta-multitask,dkoterwa_kor-sts,0.8389367883656471,0.8474712055830436,0.8558673139433243,0.8368882461876099,0.8438730558263384,0.8368340440821647,0.843731721422973,0.8237312403714596,0.8230974795082635
jhgan_ko-sroberta-multitask,mteb_sts17-crosslingual-sts,0.8509278139396921,0.8610733515849717,0.8646754928876017,0.8498745533684492,0.8562663543837866,0.8494669630945589,0.8558645249985201,0.8356867942833142,0.8345144769163341
nlpai-lab_KoE5,dkoterwa_kor-sts,0.7973601292961638,0.8055268084472793,0.7945613580728075,0.7950471719830767,0.7945595071722806,0.7948991359110888,0.7941987086649441,0.8055268061980103,0.794561537919823
nlpai-lab_KoE5,mteb_sts17-crosslingual-sts,0.8140842335877378,0.8190981704757212,0.8135331113098586,0.8109074498846573,0.813532756193322,0.8101742067291189,0.8127965816124301,0.8190981693973571,0.8135334230994371
nlpai-lab_KURE-v1,dkoterwa_kor-sts,0.8097881554733865,0.8143492456621365,0.8123905750749632,0.8007546924281457,0.8123892812833189,0.8002176208179191,0.8114653379128611,0.8143492551625162,0.8123892354452306
nlpai-lab_KURE-v1,mteb_sts17-crosslingual-sts,0.8169616141004872,0.8164950316426645,0.8194318127666984,0.8132608499823866,0.8194314186558337,0.8124570564285125,0.8186902378356042,0.8164950373994391,0.8194314680927581
BM-K_KoSimCSE-roberta-multitask,dkoterwa_kor-sts,0.8455910660337717,0.8395381112936053,0.8528963565642466,0.8469335489556795,0.8497229770971196,0.8466999236169476,0.8497434058752623,0.8369094031530674,0.8422848017142449
BM-K_KoSimCSE-roberta-multitask,mteb_sts17-crosslingual-sts,0.8551587762268471,0.8528414095209664,0.8603873534025656,0.857470517128442,0.8593862585789999,0.8571821821660746,0.8591983474471528,0.8465422582725781,0.8482618832979975
